1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
5365.0;4898.0;4760.0;6440.0;5981.0;3980.0;3202.0;7307.0;2950.0;3943.0;3525.0;4594.0;3946.0;6617.0;5443.0;3618.0;3416.0;3571.0;5442.0;4542.0;4430.0;3049.0;3671.0;4463.0;3441.0;3007.0;6201.0;5063.0;3991.0;3532.0;4944.0;5579.0;3266.0;4932.0;5227.0;3271.0;3834.0;6281.0;4149.0
5487.0;5205.0;4892.0;7040.0;6030.0;4233.0;3250.0;7402.0;2976.0;4031.0;3595.0;4733.0;3985.0;6728.0;5534.0;3814.0;3466.0;3670.0;5617.0;4710.0;4721.0;3134.0;3691.0;4567.0;3576.0;3032.0;6270.0;5202.0;4084.0;3596.0;5003.0;5844.0;3409.0;5010.0;5276.0;3295.0;3894.0;6437.0;4231.0
5618.0;5257.0;4992.0;7088.0;6169.0;4337.0;3284.0;7441.0;3051.0;4083.0;3617.0;5023.0;4130.0;6843.0;5683.0;3846.0;3564.0;3724.0;5685.0;4999.0;4767.0;3242.0;3717.0;4592.0;3705.0;3209.0;6567.0;5313.0;4220.0;3677.0;5206.0;5914.0;3528.0;5089.0;5327.0;3315.0;3927.0;6607.0;4288.0
5650.0;5355.0;5013.0;7183.0;6444.0;4451.0;3391.0;7639.0;3114.0;4107.0;3680.0;5289.0;4239.0;6965.0;5753.0;4004.0;3615.0;3781.0;5888.0;5315.0;4867.0;3431.0;3810.0;4627.0;3734.0;3347.0;6675.0;5452.0;4422.0;3794.0;5316.0;6106.0;3592.0;5422.0;5412.0;3475.0;3947.0;6767.0;4382.0
5704.0;5524.0;5038.0;7217.0;6617.0;4608.0;3424.0;7697.0;3197.0;4139.0;3820.0;5416.0;4263.0;7097.0;5912.0;4037.0;3723.0;3887.0;5910.0;5465.0;4998.0;3457.0;3894.0;4730.0;3832.0;3401.0;6799.0;5516.0;4442.0;3983.0;5427.0;6149.0;3687.0;5570.0;5542.0;3686.0;4084.0;6871.0;4420.0
5865.0;5639.0;5267.0;7299.0;6760.0;4750.0;3446.0;7886.0;3285.0;4212.0;3933.0;5440.0;4334.0;7245.0;6176.0;4133.0;3832.0;3983.0;6024.0;5643.0;5053.0;3527.0;3942.0;4765.0;3870.0;3430.0;6845.0;5583.0;4576.0;4004.0;5539.0;6381.0;3852.0;5650.0;5594.0;3863.0;4104.0;7194.0;4589.0
5904.0;5744.0;5347.0;7498.0;6878.0;5037.0;3562.0;7938.0;3309.0;4280.0;4088.0;5535.0;4412.0;7343.0;6295.0;4246.0;3862.0;4087.0;6132.0;5683.0;5172.0;3563.0;4084.0;4855.0;3959.0;3450.0;6902.0;5743.0;4711.0;4102.0;5735.0;6462.0;4207.0;5856.0;5650.0;3894.0;4142.0;7293.0;4715.0
5983.0;5889.0;5519.0;7533.0;7038.0;5058.0;3618.0;8112.0;3468.0;4400.0;4129.0;5567.0;4587.0;7448.0;6360.0;4425.0;3889.0;4224.0;6248.0;5785.0;5305.0;3693.0;4137.0;4888.0;4087.0;3531.0;7044.0;5863.0;4838.0;4234.0;5781.0;6491.0;4241.0;5891.0;5708.0;3991.0;4220.0;7426.0;5017.0
6026.0;6027.0;5632.0;7851.0;7186.0;5128.0;3724.0;8200.0;3533.0;4542.0;4211.0;5668.0;4727.0;7500.0;6434.0;4577.0;3979.0;4251.0;6358.0;5844.0;5573.0;3730.0;4231.0;5017.0;4110.0;3597.0;7172.0;5906.0;4904.0;4343.0;6027.0;6554.0;4429.0;5927.0;5765.0;4133.0;4252.0;7544.0;5051.0
6354.0;6165.0;5658.0;7879.0;7303.0;5253.0;3775.0;8246.0;3589.0;4571.0;4231.0;5696.0;4748.0;7661.0;6625.0;4605.0;4005.0;4282.0;6429.0;6106.0;5656.0;3801.0;4327.0;5365.0;4260.0;3625.0;7250.0;5982.0;5013.0;4442.0;6138.0;6599.0;4533.0;6022.0;5886.0;4211.0;4408.0;7686.0;5199.0
