1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
;9311.0;;;8265.0;9585.0;5697.0;7120.0;6525.0;5106.0;6187.0;5390.0;6843.0;6699.0;9171.0;5426.0;6111.0;6618.0;5904.0;;7387.0;5942.0;6610.0;7106.0;6545.0;5106.0;6789.0;6131.0;6975.0;6945.0;7308.0;10114.0;8035.0;7705.0;6571.0;8828.0;5304.0
;9421.0;;;8410.0;9674.0;5841.0;7144.0;6581.0;5175.0;6239.0;5430.0;6915.0;6730.0;9218.0;5446.0;6260.0;6852.0;5954.0;;7438.0;5964.0;6685.0;7216.0;6574.0;5185.0;6814.0;6294.0;7049.0;6967.0;7399.0;10197.0;8227.0;7791.0;6601.0;8969.0;5370.0
;9559.0;;;8711.0;9817.0;5949.0;7218.0;6688.0;5228.0;6264.0;5511.0;6957.0;6828.0;9355.0;5580.0;6391.0;6960.0;6009.0;;7511.0;6021.0;6728.0;7240.0;6689.0;5227.0;6933.0;6360.0;7209.0;7112.0;7678.0;;8364.0;7843.0;6688.0;9057.0;5535.0
;9664.0;;;8933.0;9907.0;5977.0;7241.0;6820.0;5358.0;6304.0;5589.0;7146.0;6935.0;9475.0;5710.0;6522.0;7086.0;6032.0;;7633.0;6062.0;6834.0;7306.0;6741.0;5301.0;7051.0;6488.0;7387.0;7226.0;7698.0;;8441.0;7887.0;6713.0;9192.0;5573.0
;9793.0;;;8965.0;10018.0;5999.0;7350.0;6852.0;5527.0;6358.0;5705.0;7181.0;6964.0;9514.0;5904.0;6617.0;7228.0;6161.0;;7720.0;6132.0;6935.0;7477.0;6788.0;5338.0;7116.0;6541.0;7468.0;7300.0;7783.0;;8536.0;7919.0;6791.0;9328.0;5595.0
;9847.0;;;9062.0;10066.0;6054.0;7491.0;6968.0;5575.0;6683.0;5798.0;7222.0;7076.0;9571.0;5980.0;6726.0;7254.0;6270.0;;7829.0;6192.0;7008.0;7711.0;6810.0;5364.0;7184.0;6565.0;7514.0;7363.0;7883.0;;8565.0;8044.0;6946.0;9460.0;5677.0
;9879.0;;;9171.0;10132.0;6386.0;7513.0;7095.0;5693.0;6821.0;5937.0;7314.0;7096.0;9659.0;6012.0;6955.0;7344.0;6392.0;;7903.0;6237.0;7084.0;7846.0;6848.0;5529.0;7246.0;6689.0;7859.0;7471.0;7914.0;;8815.0;8325.0;7092.0;9580.0;5713.0
;10145.0;;;9198.0;10170.0;6421.0;7580.0;7148.0;5717.0;6861.0;5988.0;7414.0;7215.0;9679.0;6248.0;7093.0;7381.0;6500.0;;8083.0;6262.0;7104.0;8319.0;6938.0;5589.0;7351.0;6737.0;7962.0;7584.0;8039.0;;8912.0;8449.0;7124.0;9686.0;5789.0
;;;;9336.0;;6513.0;7685.0;7669.0;5805.0;6940.0;6063.0;7494.0;7363.0;9784.0;6269.0;7142.0;7622.0;6601.0;;8107.0;6287.0;7175.0;8356.0;7182.0;5722.0;7477.0;6792.0;8091.0;7774.0;8091.0;;8964.0;8686.0;7499.0;9815.0;5852.0
;;;;9460.0;;6534.0;7705.0;7694.0;5841.0;7001.0;6184.0;7590.0;7486.0;9855.0;6388.0;7255.0;7722.0;6692.0;;8218.0;6357.0;7375.0;8467.0;7394.0;5966.0;7514.0;6843.0;8316.0;7879.0;8117.0;;9138.0;8795.0;7531.0;9897.0;6002.0
;;;;9576.0;;6580.0;7727.0;7817.0;5965.0;7090.0;6396.0;7616.0;7607.0;9893.0;6565.0;7339.0;7833.0;6713.0;;8322.0;6408.0;7520.0;8554.0;7462.0;6063.0;7583.0;7298.0;8356.0;7960.0;8231.0;;9328.0;8823.0;7591.0;10064.0;6081.0
;;;;10021.0;;6606.0;7795.0;7947.0;5993.0;7125.0;6435.0;7685.0;7710.0;10033.0;6586.0;7499.0;8212.0;6808.0;;8419.0;6485.0;7620.0;8613.0;7519.0;6101.0;7803.0;7480.0;8427.0;8203.0;8380.0;;9428.0;8933.0;7665.0;10177.0;6245.0
;;;;10125.0;;6841.0;7840.0;7973.0;6047.0;7172.0;6533.0;7712.0;7828.0;10118.0;6684.0;7617.0;8247.0;6921.0;;8482.0;6533.0;7690.0;8686.0;7583.0;6236.0;8035.0;7798.0;8494.0;8224.0;8831.0;;9526.0;9035.0;7765.0;;6301.0
