MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9
-0.0008852282070148232;-0.0006122581962323629;0.0006771251990012275;-0.0007922107688567766;0.0002880218670737247;0.0010878254181475925;0.001045257215769825;0.000795432916175091;0.0007810813965605296
-0.0009306576697545939;-0.0007636879582984684;0.0006848539490223982;-0.0007448747291229412;0.0003122764060308736;0.001021430581473052;0.0009769749131974782;0.0007763148568011203;0.0008029468099383111
-0.0009708928013318863;-0.0009051055130739403;0.0006849069934636687;-0.0007034871767435631;0.00033769953089996;0.0009535797756211287;0.0009051965482215552;0.0007542358286016258;0.0008264000079098927
-0.0010029662129449695;-0.001027980288384685;0.0006740018194484735;-0.0006763412864485762;0.00036460053809664263;0.0008879828445323541;0.0008240739839119612;0.0007273182101779531;0.0008491393132783065
-0.001030425975331445;-0.001145498029965863;0.0006564675667134301;-0.0006467072976925364;0.00038991463158480273;0.0008208788028568418;0.0007483892366889065;0.0007000661085282172;0.0008729268044419384
-0.0010577649852418472;-0.001272995244426168;0.0006413914471736773;-0.0005952908024917521;0.00041071437976180253;0.0007452679463386243;0.0006948745728388357;0.0006774569199426078;0.0009004211639855214
-0.0010758475394023626;-0.0013803953879809943;0.0006227605748841649;-0.0005554803358000885;0.0004312855203573477;0.0006696261134841875;0.0006363854088182498;0.0006509071808679342;0.000925432091211569
-0.0010717636663744733;-0.00142727038427645;0.0005826862597061942;-0.0005732820063080869;0.00045668613671896014;0.0006115207060175327;0.0005352164325512671;0.0006088805236217714;0.0009383516180068087
-0.0010613391631760158;-0.001469297419164284;0.000534150671445344;-0.0005838369629492706;0.00047678950824521054;0.0005567877510335267;0.0004455241173226442;0.0005683148294645048;0.0009477704625246263
-0.0010727572666206103;-0.0015986088805818631;0.000520117999787846;-0.0004793906561787912;0.00047780218091612886;0.0004673543642127443;0.00045676509154935586;0.0005564482482411148;0.0009720264369620518
-0.0010749371089136997;-0.0017083446947698164;0.0005221745929043055;-0.0003822760231558835;0.00047796469696925373;0.0003693940710535279;0.0004672494097085427;0.0005412228055999164;0.0009919824347560074
-0.0010023398568234565;-0.0015865194545010407;0.00044940505431143555;-0.0005386583305192714;0.0005080811885378794;0.0003491210940038492;0.0002726799728430573;0.0004601826804340274;0.000962436710579757
