1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
8599.0;8867.0;7573.0;7557.0;;5879.0;7169.0;7442.0;8152.0;5501.0;6173.0;5022.0;;7551.0;6122.0;6155.0;6161.0;6390.0;5011.0;7041.0;5737.0;7079.0;9027.0;6900.0;;;6897.0;;;;;;
8730.0;9040.0;7678.0;7771.0;;5946.0;7289.0;7557.0;8433.0;5590.0;6284.0;5091.0;;7677.0;6246.0;6371.0;6293.0;6488.0;5101.0;7076.0;5854.0;7179.0;9137.0;6939.0;;;6973.0;;;;;;
8874.0;9156.0;7789.0;7798.0;;6011.0;7392.0;7672.0;8849.0;5622.0;6467.0;5119.0;;7783.0;6266.0;6462.0;6372.0;6533.0;5191.0;7096.0;5877.0;7220.0;9188.0;6968.0;;;7055.0;;;;;;
9035.0;9335.0;7900.0;7882.0;;6046.0;7505.0;7870.0;9011.0;5747.0;6492.0;5202.0;;7868.0;6372.0;6586.0;6502.0;6792.0;5325.0;7448.0;6036.0;7760.0;9343.0;7087.0;;;7235.0;;;;;;
9163.0;9460.0;8018.0;7908.0;;6149.0;7586.0;7986.0;9182.0;5920.0;6697.0;5288.0;;8126.0;6393.0;6692.0;6566.0;6826.0;5494.0;7532.0;6117.0;7847.0;9446.0;7217.0;;;7318.0;;;;;;
9341.0;9587.0;8104.0;8016.0;;6255.0;7686.0;8087.0;9293.0;6018.0;6821.0;5314.0;;8203.0;6786.0;6941.0;6697.0;6940.0;5622.0;7577.0;6145.0;7901.0;9483.0;7425.0;;;7439.0;;;;;;
9467.0;9739.0;8217.0;8161.0;;6369.0;7765.0;8210.0;9317.0;6139.0;6848.0;5436.0;;8282.0;6821.0;6962.0;6759.0;6985.0;5655.0;7660.0;6250.0;8005.0;9602.0;7470.0;;;7660.0;;;;;;
9594.0;9865.0;8311.0;8191.0;;6456.0;7869.0;8294.0;9391.0;6256.0;6896.0;5499.0;;8311.0;6949.0;7086.0;6914.0;7123.0;5721.0;7775.0;6345.0;8124.0;9690.0;7521.0;;;7866.0;;;;;;
9746.0;9979.0;8444.0;8285.0;;6558.0;8060.0;8439.0;9531.0;6376.0;6982.0;5528.0;;8430.0;6970.0;7193.0;7045.0;7217.0;5757.0;7901.0;6403.0;8197.0;9811.0;7756.0;;;7895.0;;;;;;
9871.0;10103.0;8559.0;8441.0;;6679.0;8155.0;8553.0;9570.0;6400.0;7052.0;5591.0;;8538.0;7078.0;7339.0;7107.0;7364.0;5891.0;7986.0;6472.0;8250.0;9840.0;7866.0;;;7997.0;;;;;;
9985.0;;8667.0;8733.0;;6728.0;8359.0;8651.0;9727.0;6496.0;7080.0;5632.0;;8674.0;7119.0;7432.0;7269.0;7408.0;5975.0;8105.0;6562.0;8304.0;10211.0;7990.0;;;8079.0;;;;;;
10110.0;;8816.0;8790.0;;6757.0;8465.0;8799.0;9848.0;6530.0;7190.0;5728.0;;8837.0;7246.0;7524.0;7320.0;7534.0;6059.0;8172.0;6651.0;8425.0;;8248.0;;;8184.0;;;;;;
;;8927.0;9020.0;;6835.0;8567.0;8882.0;9961.0;6580.0;7375.0;5755.0;;9079.0;7321.0;7588.0;7344.0;7569.0;6147.0;8445.0;6735.0;8826.0;;8325.0;;;8242.0;;;;;;
;;9169.0;9178.0;;6868.0;8679.0;8910.0;10088.0;6628.0;7487.0;5868.0;;9138.0;7414.0;7668.0;7570.0;7721.0;6260.0;8541.0;6787.0;8855.0;;8425.0;;;8424.0;;;;;;
;;9277.0;9265.0;;6953.0;8876.0;9054.0;10115.0;6798.0;7565.0;5970.0;;9168.0;7528.0;7893.0;7664.0;8006.0;6393.0;8751.0;6819.0;8936.0;;8484.0;;;8558.0;;;;;;
;;9375.0;9352.0;;7162.0;8966.0;9154.0;;6821.0;7599.0;6040.0;;9189.0;7676.0;8091.0;7690.0;8038.0;6486.0;8860.0;6895.0;9005.0;;8581.0;;;8655.0;;;;;;
;;9515.0;9597.0;;7217.0;9067.0;9269.0;;6959.0;7671.0;6069.0;;9263.0;7710.0;8314.0;7772.0;8160.0;6563.0;8896.0;7047.0;9051.0;;8699.0;;;8711.0;;;;;;
;;9591.0;9698.0;;7282.0;9180.0;9366.0;;7087.0;7696.0;6152.0;;9360.0;7757.0;8356.0;7807.0;8190.0;6706.0;9041.0;7218.0;9172.0;;9017.0;;;8915.0;;;;;;
;;9630.0;9721.0;;7367.0;9262.0;9497.0;;7236.0;7789.0;6179.0;;9443.0;7881.0;8426.0;7871.0;8305.0;6791.0;9186.0;7239.0;9250.0;;9181.0;;;9017.0;;;;;;
;;9711.0;10094.0;;7465.0;9371.0;9623.0;;7260.0;7864.0;6289.0;;9610.0;7902.0;8460.0;7895.0;8330.0;6859.0;9281.0;7435.0;9327.0;;9316.0;;;9082.0;;;;;;
;;9843.0;;;7497.0;9488.0;9703.0;;7381.0;7903.0;6360.0;;9732.0;7994.0;8548.0;8079.0;8439.0;6895.0;9493.0;7510.0;9370.0;;9437.0;;;9188.0;;;;;;
;;9953.0;;;7580.0;9587.0;9826.0;;7406.0;7963.0;6390.0;;10079.0;8148.0;8586.0;8184.0;8594.0;6971.0;9516.0;7865.0;9437.0;;9564.0;;;9326.0;;;;;;
;;10100.0;;;7682.0;9705.0;9936.0;;7563.0;8002.0;6482.0;;10102.0;8188.0;8751.0;8280.0;8615.0;7102.0;9623.0;7906.0;9518.0;;9607.0;;;9565.0;;;;;;
