1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
8373.0;7554.0;6821.0;6215.0;6018.0;5265.0;4320.0;5133.0;4703.0;5756.0;5755.0;5092.0;5176.0;7260.0;4508.0;6295.0;5557.0;4483.0;5766.0;5349.0;8022.0;4976.0;9448.0;4858.0;5297.0;4854.0;5711.0;6817.0;5570.0;5428.0;6395.0
8665.0;7577.0;6854.0;6243.0;6236.0;5432.0;4353.0;5229.0;4742.0;5824.0;5807.0;5188.0;5230.0;7312.0;4664.0;6395.0;5711.0;4507.0;5832.0;5370.0;8144.0;5216.0;9568.0;5051.0;5327.0;4960.0;5946.0;6996.0;5698.0;5544.0;6472.0
8818.0;7706.0;6885.0;6525.0;6384.0;5581.0;4506.0;5312.0;4794.0;5912.0;5949.0;5367.0;5267.0;7427.0;4797.0;6425.0;5824.0;4544.0;5919.0;5449.0;8518.0;5315.0;9701.0;5181.0;5396.0;5040.0;5973.0;7079.0;5819.0;5593.0;6532.0
8958.0;8018.0;7091.0;6697.0;6494.0;5605.0;4648.0;5397.0;4881.0;6035.0;6029.0;5443.0;5331.0;7503.0;4990.0;6485.0;5897.0;4592.0;6004.0;5553.0;8657.0;5432.0;9828.0;5216.0;5430.0;5063.0;6080.0;7656.0;5899.0;5811.0;6710.0
8984.0;8130.0;7173.0;6852.0;6567.0;5644.0;4904.0;5433.0;4902.0;6077.0;6127.0;5472.0;5435.0;7631.0;5010.0;6522.0;5945.0;4673.0;6042.0;5810.0;8751.0;5560.0;9932.0;5332.0;5520.0;5137.0;6190.0;7792.0;6029.0;5890.0;6878.0
9129.0;8178.0;7342.0;6888.0;6689.0;5716.0;4965.0;5604.0;4987.0;6144.0;6333.0;5607.0;5459.0;7879.0;5110.0;6634.0;6036.0;4764.0;6154.0;5933.0;8878.0;5618.0;10049.0;5400.0;5614.0;5193.0;6467.0;7845.0;6149.0;5944.0;7049.0
9262.0;8328.0;7452.0;7175.0;6826.0;5740.0;4988.0;5719.0;5021.0;6186.0;6435.0;5806.0;5548.0;8003.0;5228.0;6716.0;6145.0;4962.0;6200.0;5953.0;8971.0;5720.0;;5438.0;5727.0;5289.0;6766.0;7927.0;6251.0;5976.0;7177.0
9459.0;8368.0;7511.0;7336.0;6881.0;5830.0;5011.0;5822.0;5229.0;6249.0;6471.0;5842.0;5709.0;8032.0;5469.0;6868.0;6273.0;5000.0;6255.0;6017.0;9117.0;5809.0;;5524.0;5899.0;5421.0;6832.0;8440.0;6381.0;6079.0;7336.0
9576.0;8659.0;7556.0;7428.0;7126.0;5952.0;5156.0;6126.0;5252.0;6504.0;6515.0;5951.0;5756.0;8182.0;5612.0;6989.0;6336.0;5091.0;6466.0;6135.0;9356.0;5898.0;;5618.0;5996.0;5513.0;6960.0;8529.0;6467.0;6188.0;7454.0
9719.0;8912.0;7582.0;7455.0;7151.0;5981.0;5278.0;6337.0;5631.0;6530.0;6600.0;6036.0;5810.0;8281.0;5636.0;7128.0;6490.0;5197.0;6722.0;6273.0;9440.0;5976.0;;5702.0;6095.0;5553.0;6996.0;8661.0;6567.0;6265.0;7576.0
9878.0;8962.0;7686.0;7673.0;7295.0;6139.0;5335.0;6423.0;5866.0;6588.0;6841.0;6174.0;5856.0;8400.0;5751.0;7235.0;6576.0;5227.0;6801.0;6372.0;9833.0;6000.0;;5805.0;6180.0;5602.0;7075.0;8759.0;6590.0;6369.0;7716.0
10001.0;9003.0;7720.0;7819.0;7341.0;6225.0;5454.0;6464.0;6031.0;6849.0;6868.0;6222.0;5901.0;8502.0;5852.0;7445.0;6632.0;5315.0;7286.0;6500.0;9943.0;6289.0;;5890.0;6234.0;5691.0;7120.0;8979.0;6673.0;6465.0;7848.0
10139.0;9122.0;7819.0;7846.0;7459.0;6373.0;5547.0;6678.0;6123.0;6869.0;7105.0;6291.0;5941.0;8643.0;5898.0;7571.0;6685.0;5610.0;7389.0;6529.0;9998.0;6352.0;;5969.0;6285.0;5715.0;7524.0;9089.0;6824.0;6602.0;8025.0
