1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
5614.0;;5062.0;4494.0;5583.0;3215.0;3819.0;3948.0;3775.0;4469.0;3347.0;3080.0;3788.0;3635.0;2330.0;3639.0;3640.0;3533.0;2599.0;5172.0;3369.0;3325.0;4134.0;5269.0;3733.0;3913.0;3207.0;5603.0;5477.0;6504.0;3632.0;3235.0;4049.0;3302.0;4469.0;3947.0;4568.0;5067.0
5712.0;;5216.0;4751.0;5705.0;3323.0;3953.0;4044.0;3914.0;4505.0;3369.0;3145.0;3833.0;3769.0;2510.0;3669.0;3673.0;3563.0;2621.0;5293.0;3514.0;3382.0;4171.0;5362.0;3790.0;4005.0;3242.0;5730.0;5498.0;6597.0;3723.0;3370.0;4189.0;3354.0;4576.0;4025.0;4715.0;5219.0
5809.0;;5280.0;4936.0;5735.0;3373.0;4042.0;4491.0;3939.0;4812.0;3427.0;3176.0;4028.0;3867.0;2554.0;3912.0;3774.0;3643.0;2644.0;5363.0;3580.0;3434.0;4213.0;5451.0;3857.0;4089.0;3262.0;5796.0;5708.0;6857.0;3804.0;3434.0;4272.0;3422.0;4663.0;4130.0;4893.0;5339.0
5926.0;;5336.0;5213.0;5758.0;3617.0;4074.0;4609.0;4037.0;4931.0;3481.0;3222.0;4054.0;3898.0;2609.0;4049.0;3820.0;3684.0;2776.0;5463.0;3621.0;3567.0;4301.0;5503.0;3916.0;4123.0;3333.0;6004.0;5837.0;6945.0;3877.0;3544.0;4381.0;3528.0;4702.0;4213.0;4915.0;5487.0
6141.0;;5384.0;5273.0;5953.0;3729.0;4215.0;4694.0;4068.0;5043.0;3539.0;3247.0;4232.0;3962.0;2651.0;4213.0;3993.0;3726.0;2876.0;5687.0;3677.0;3627.0;4344.0;5586.0;3986.0;4143.0;3457.0;6136.0;5901.0;7064.0;3912.0;3612.0;4461.0;3732.0;4748.0;4363.0;4939.0;5578.0
6245.0;;5483.0;5342.0;6001.0;3778.0;4357.0;4715.0;4353.0;5461.0;3620.0;3397.0;4391.0;4136.0;2711.0;4273.0;4079.0;3775.0;2944.0;5864.0;3765.0;3679.0;4456.0;5685.0;4076.0;4170.0;3616.0;6233.0;5999.0;7203.0;4032.0;3632.0;4580.0;3811.0;4829.0;4462.0;4986.0;5752.0
6409.0;;5573.0;5376.0;6510.0;3853.0;4502.0;4759.0;4459.0;5511.0;3767.0;3428.0;4483.0;4167.0;2834.0;4598.0;4152.0;3850.0;2964.0;6123.0;3788.0;3860.0;4503.0;5779.0;4173.0;4223.0;3727.0;6260.0;6082.0;7300.0;4088.0;3816.0;4667.0;3886.0;4932.0;4548.0;5019.0;5887.0
6627.0;;5749.0;5578.0;6561.0;4111.0;4735.0;4902.0;4483.0;5684.0;3816.0;3553.0;4593.0;4213.0;2918.0;4728.0;4268.0;3918.0;3047.0;6367.0;3891.0;3901.0;4548.0;5891.0;4226.0;4273.0;3796.0;6399.0;6198.0;7533.0;4143.0;3907.0;4752.0;4036.0;5018.0;4703.0;5172.0;5995.0
6742.0;;5883.0;5630.0;6690.0;4169.0;4769.0;4945.0;4720.0;5742.0;3899.0;3619.0;4832.0;4357.0;2963.0;4753.0;4399.0;3964.0;3080.0;6395.0;4028.0;3965.0;4697.0;6004.0;4308.0;4466.0;3897.0;6498.0;6249.0;7757.0;4185.0;4011.0;4935.0;4093.0;5053.0;4835.0;5292.0;6132.0
6874.0;;5990.0;5742.0;6732.0;4215.0;4920.0;5158.0;4749.0;5791.0;3957.0;3733.0;4957.0;4581.0;3086.0;4817.0;4491.0;4093.0;3101.0;6426.0;4051.0;4002.0;4739.0;6107.0;4364.0;4572.0;3955.0;6615.0;6404.0;7879.0;4217.0;4060.0;5022.0;4181.0;5124.0;4939.0;5433.0;6275.0
6949.0;;6127.0;5792.0;6763.0;4347.0;5050.0;5269.0;4770.0;5898.0;4029.0;3753.0;5321.0;4715.0;3117.0;5042.0;4572.0;4234.0;3136.0;6504.0;4093.0;4036.0;4815.0;6487.0;4470.0;4760.0;3994.0;6858.0;6470.0;7994.0;4256.0;4197.0;5117.0;4260.0;5180.0;5035.0;5697.0;6428.0
7083.0;;6192.0;5826.0;6882.0;4451.0;5076.0;5472.0;4908.0;5998.0;4171.0;3792.0;5497.0;4912.0;3158.0;5187.0;4607.0;4358.0;3255.0;6530.0;4344.0;4210.0;5051.0;6595.0;4508.0;4880.0;4043.0;6939.0;6517.0;8134.0;4305.0;4217.0;5211.0;4569.0;5305.0;5180.0;5798.0;6555.0
