MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10
-0.0010378451827724165;0.00016376888798719477;6.1750597398266e-05;0.0007962318008304681;0.00016086930998367754;0.0009145408795348271;-0.0008941740934862796;0.0005014435274328991;7.366288101253577e-05;-0.00042631725036995936
-0.0011402971528788534;0.0001565090359896865;7.121462009984646e-05;0.0007977097267191093;-4.908721855991788e-06;0.000966712629551311;-0.0011573422292964445;0.00041997369084974284;0.00012674619119863923;-0.0005459588305375555
-0.0012161226763587516;0.00017782069231844132;0.0001180269595406604;0.0008326426182244241;-0.00019025366101899877;0.0011257592581903912;-0.001420299928662396;0.0002828903303841398;3.8439369504164016e-06;-0.0005151392992667807
-0.0012605650526427128;0.00023517667541166678;0.00020879564016244251;0.000893330456343239;-0.00037580675711473637;0.001383763683583678;-0.0016680480426440481;0.00010825241803723294;-0.00030066521213372143;-0.0003150881410831174
-0.0012703871026309543;0.000321560260122538;0.0003183128655650597;0.0009432830765232215;-0.0005210842509612783;0.001644787836096488;-0.0018398660156306026;-3.881837042682319e-05;-0.0006689237131101086;-3.826666944802261e-05
-0.0012460932291235287;0.00040913901392396326;0.0003843635356810667;0.0009234131500654919;-0.0005642594694355083;0.0017269480988406504;-0.0018134960288602223;-5.537823476432336e-05;-0.0008657547473992023;0.00010530717690506014
-0.001193847595226431;0.00045170377266353913;0.0003240655405746438;0.0007776010511164026;-0.00043612373586474236;0.0014197465461702264;-0.0014262671250230361;0.00015851028342003595;-0.0006254410655931004;-0.0001427447731490883
-0.001125855679917217;0.00039850728691440243;7.278464038227168e-05;0.0004909378571017766;-8.62110008092125e-05;0.0005859679102651572;-0.0005426048006117712;0.000637691306957462;0.00019627623777322022;-0.0009486767575222659
-0.0010582482434130644;0.00021582727934979932;-0.0003684081109599095;0.00012068443921287211;0.000491542295332115;-0.0007396462713523542;0.000851212051409751;0.001300554887981265;0.0014752490672037164;-0.002231658026255131
-0.0010063366874483602;-9.341001036476539e-05;-0.0009031369605153424;-0.0002060108604541044;0.001251359625358356;-0.0023203236922834;0.00257334058562917;0.0019497942472045903;0.002779587344325313;-0.0035908325596486703
-0.0009781021577926728;-0.00048212240952459883;-0.0013525584125745392;-0.0003430590644402765;0.0021152221090946226;-0.003792377901147644;0.0042485784304480785;0.0023482642198336817;0.0035107386212847686;-0.004399155693793746
-0.0009677102766165714;-0.0008676188669997719;-0.0015148364498792245;-0.0002128706792992835;0.003007770941440243;-0.004813492343593278;0.0054117546138455494;0.0023470060425342396;0.0031992504801059167;-0.004070131359274681
-0.0009519507869713836;-0.001152853959531475;-0.0012476725219851396;0.00011314712955279581;0.0038802479527198417;-0.005195472030943051;0.005685217645575041;0.0019947161869705294;0.001812949391239822;-0.002391953110665148
-0.0008934542792219907;-0.0012549166831554049;-0.0005358077303647247;0.00039808680975558303;0.004704282551345786;-0.004941070057294152;0.004960807584542351;0.0015464597596744896;-0.0001164424286384286;0.0002502696850850893
-0.0007533523269503991;-0.0011360345023103745;0.0004843890719225846;0.0003241482807319187;0.005438601346338156;-0.004175334967924077;0.0035065811624851793;0.0013353298985008726;-0.0016769002906076172;0.002921409379486099
-0.000510815466839715;-0.0008288013325647846;0.001546858662672464;-0.0003376193112202754;0.005989945651984874;-0.003040454477303499;0.0019374095114754136;0.0015554739135056235;-0.002037361646060318;0.004490992299100899
-0.0001795684483179525;-0.0004404143219603203;0.002312570266720095;-0.0015535898286220423;0.0061961862463891055;-0.0016523730079186277;0.00102291900162355;0.0020769373085504886;-0.0009789376264634857;0.004176934052328392
0.00019113566122946655;-0.0001228791577837064;0.0024518251246334753;-0.0029679253728665143;0.005857153701134416;-0.00016926578474638497;0.0013597175705763443;0.002424144232510017;0.0008095994170192369;0.0020349337374703943
0.0005351204339951761;-1.6602319854353647e-05;0.0017449566156102034;-0.004036747830379377;0.004819576969143145;0.0010969586695433623;0.003024033453121303;0.0019868898001090983;0.001935479768226078;-0.0008928078106814978
0.0007957193276122456;-0.00020008860017116018;0.00017527930719242986;-0.004311469040831407;0.0030807179783111935;0.001706258997252277;0.0054143538727106765;0.00040995161496490753;0.0010515094930704347;-0.0029693793765877227
0.0009413386059689813;-0.0006771721064285022;-0.002035339156551441;-0.0036977972165034164;0.0008392376987667585;0.001370830835125573;0.007468810321483168;-0.002040088299508346;-0.002169108154511949;-0.002825754266804958
0.0009638807928123456;-0.0013974197086476538;-0.0044844284150072555;-0.0025139827952435846;-0.0015579200217658911;0.0003123219532884592;0.008208805256806272;-0.00441642102265123;-0.006480833323604836;-0.00024278294151313623
0.0008709622845394058;-0.0022764874712600633;-0.006721541345063099;-0.0013139411805457863;-0.0037384851105637714;-0.0007048498919526811;0.007266334782323713;-0.005513022082765952;-0.00950757952690235;0.0035754606075718335
0.000681993585373057;-0.0032003497245053983;-0.008391069446940501;-0.0005932597074035096;-0.0053857472778065935;-0.0008236479896880711;0.005010309691682686;-0.0045970374737956945;-0.009093363513066176;0.0066272589981946324
0.0004243422732276393;-0.004033085782031364;-0.009327994863432122;-0.0005445204785244242;-0.006204399552806888;0.00032360803309123914;0.002201073033730114;-0.001968249444033848;-0.004700490173285822;0.007256160842868534
0.00012424040308270975;-0.004647242423689979;-0.009591382624422672;-0.0009866224229512716;-0.005862310741200586;0.0023817047097624846;-0.0005068820511939605;0.0010920649870522457;0.002126242761484194;0.005039823946367258
-0.0002005698764415411;-0.004961698376390973;-0.00944231113610654;-0.001502141145331848;-0.0041004787295143355;0.004478688468828803;-0.0028041250915725835;0.00300131979444427;0.008525153101320843;0.0008979568081395768
-0.0005376039926191214;-0.004955165561622678;-0.009254289456332613;-0.0016923770899981406;-0.0010468252381300805;0.005630048781132277;-0.004587870324638702;0.0027747992909168432;0.011790568927788387;-0.0035202688829313548
