MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
-0.00134979439613958;-0.0011835446727317797;0.0021338781203066723;-0.0022462219957279225;-0.0016183619545475333;-0.0049198843446155395;-0.00144481764420706;0.004393408368375675;-0.004440201883923166;0.005767824133863319;0.004298321258311673;0.0034897915599098666;0.0011972533724445731;0.0016277301780482085
-0.0013271835747437016;-0.000998456707989317;0.002034547806558299;-0.0019603807737196763;-0.0015794358867938752;-0.0047815117837454405;-0.0013401831143738936;0.004238413661078077;-0.004027128605020694;0.0054472758904972095;0.004052282135543519;0.0033208119573548745;0.0014032546719395867;0.001793196410058048
-0.0013164802684475084;-0.0008427517639319327;0.0018974662709169711;-0.0016223691873671938;-0.0015887947133479906;-0.004707645965734849;-0.0012230450629950023;0.004004633569631787;-0.003574786146616911;0.005043495828064458;0.003780509830835058;0.00320437654930175;0.0017723183816009448;0.0021452198354106073
-0.0013154747655369874;-0.000718792855384553;0.0017334517308768256;-0.0012625474040646257;-0.001620881586943593;-0.004662560150803388;-0.0011083789257234431;0.003738162260868396;-0.003166133940437067;0.004561128136437067;0.0035105199145013164;0.003148658270254298;0.0021004259489582;0.0025294607115093084
-0.001313555017752739;-0.000625812162447483;0.0015761539132491131;-0.0009569661048106605;-0.0016113057335513357;-0.004555332441015278;-0.0010214728056262502;0.003537900001465421;-0.002903662160741111;0.004072441384340365;0.003278800170656321;0.0031196587628276188;0.0020620506102274833;0.0026459997909312424
-0.0012924641388701833;-0.0005586970476975665;0.001476866177565591;-0.000810054558586582;-0.001473923955199526;-0.0042566260205864365;-0.000988274322346645;0.0035247958921968484;-0.002849740046713338;0.0037181133722252045;0.0031125750248383907;0.0030294613153035075;0.001355666620859869;0.0021544314611636494
-0.0012312778425181104;-0.0005080548038898149;0.001486991652751111;-0.0009105017251688557;-0.0011415546076399905;-0.0036443089467218617;-0.0010205390364165276;0.0037813284798683356;-0.002957448247683743;0.003665215964327647;0.0030080058854392265;0.0027484629279483862;-8.09888482634261e-05;0.0008636171860551263
-0.0011139827565626948;-0.00046204832737989804;0.0016340611587015404;-0.0012762666208017783;-0.0006155916358261729;-0.002660750000501126;-0.0011035959012947252;0.004287353084879766;-0.0030354313024628546;0.0040263865067464615;0.002918327094888232;0.0021460870313520504;-0.0018965075188813552;-0.0010789440439261109
-0.0009358617918901599;-0.00040976851241974766;0.0019035371623789853;-0.0018191936191359799;3.223818348534989e-06;-0.001351677979372987;-0.0011966703231303466;0.004893529603112163;-0.0027926883834995184;0.0047698403973397245;0.00276543553583041;0.0011512929173463514;-0.003334846774657734;-0.003126300387839572
-0.0007051213480853723;-0.0003452711749685645;0.0022376400247498085;-0.0023575842524130954;0.0005287737731743846;0.00013565895855156956;-0.00125135850830216;0.005363779658319538;-0.001979670500219006;0.0056650446120156146;0.002477957548613184;-0.00018623619528343742;-0.0035112261333948066;-0.004494551992325686
-0.0004390178934290824;-0.0002710771319107513;0.0025530494108393616;-0.0026820105177454315;0.0007528107787145133;0.001589727685000331;-0.0012440230807243575;0.005480675448495499;-0.000583696168892368;0.006301875935395501;0.002041371686355868;-0.0016581169652764944;-0.001884791163637961;-0.004523591373221204
-0.000156394277163809;-0.00019959154532624905;0.0027690548663872466;-0.0026489561342200045;0.0005326060137905772;0.0027799214465092006;-0.0012080384077063004;0.005164027278002588;0.0010243861714397354;0.0061973633354904245;0.001532389030588667;-0.00291022809752952;0.0013130049113607783;-0.0030671897365528184
0.00013118389028355285;-0.00015053986527946417;0.0028349475697629868;-0.002259231908819147;-0.00013781577048223114;0.0034901749062558056;-0.0012469540761271757;0.004535828257429948;0.002117021013969734;0.004978229725008241;0.0011103398798230943;-0.003534181740995627;0.004994572722127488;-0.0006779761635360588
0.0004276074144445146;-0.00014339165976915693;0.0027488599349327594;-0.001682528054921504;-0.0011038508657992474;0.0035494573588688715;-0.0015122710657546514;0.003889657363471007;0.0018792256250941804;0.0026020162686152897;0.0009541834732441122;-0.0032400285021914168;0.007632826583489465;0.0015721095922695827
0.0007556325652746199;-0.00018699191827740435;0.0025622610167620793;-0.0012099551727975768;-0.0020791816138811857;0.0028795999953412452;-0.0021429912141328416;0.003575274585312236;-0.00014714027548871114;-0.00045626487789307703;0.0011603489792071087;-0.0020533250897253152;0.008028642764049758;0.002608253134580016
0.0011501746871534185;-0.0002725655154384977;0.0023641700588528953;-0.0011446224438580624;-0.0027136330108455567;0.0015579629802043272;-0.0031897933835786183;0.003856677312247137;-0.0036697631187427335;-0.003168386759535767;0.0016469119603135008;-0.00042074631184910546;0.006003741394948196;0.001977889292889828
0.0016402796115299798;-0.0003764069403828259;0.002244884714138458;-0.0016709044209392277;-0.0026845089759608056;-0.00014340518463308477;-0.004569954179525908;0.004813672825362489;-0.007591148258597472;-0.004193263158913438;0.002129145168708332;0.0008901220200007607;0.0025662855420510475;0.00024379578729569215
0.0022264915553203905;-0.00047197848983335315;0.00225396766552594;-0.002763952997822699;-0.0017971849076935632;-0.001789811574072063;-0.006084960195527657;0.006322173481521504;-0.010435658732479716;-0.002426451979150964;0.0022154902080352657;0.0011251198483647885;-0.0006134610703364189;-0.0011592685732941773
0.0028653091171572686;-0.0005420234232815861;0.0023790148978972895;-0.004190046189231001;-6.819274336461554e-05;-0.0029019870769366645;-0.007469425593500018;0.008091677432609082;-0.011072435643818313;0.0023179071619638383;0.0016069658889891478;-9.159481945138057e-07;-0.0021377745734103815;-0.0006898849825944005
0.0034702090754694186;-0.000580059293722006;0.002561625915047809;-0.005599052024251534;0.0022507325063816103;-0.0031221273318528357;-0.008401286066454565;0.009718376859527117;-0.009284559737852579;0.008882942905254534;0.00029842411526806006;-0.001981669186575784;-0.0016627704797520773;0.002221252529996837
0.003930821125025974;-0.0005814263852192624;0.0027371142543092144;-0.006656752453344357;0.004735410943289042;-0.0023538736621631345;-0.008480538393469173;0.010758531116698196;-0.00582013109768988;0.01499666556485512;-0.0013499824999689113;-0.003631031815715711;-5.563004469666984e-05;0.0064743181636402825
0.004143599613110555;-0.000535152234996054;0.0028658391484109678;-0.0071503765533050285;0.0069210700439560225;-0.0008065593547728491;-0.0072980877104665215;0.01086318280339458;-0.0019503115216404753;0.01821137118662347;-0.00273304728128459;-0.003732367539191596;0.0011454182744277195;0.009653291684379511
