MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12
-0.0005740979857890058;-0.005304270980275241;0.004073235749118347;-0.004125398515936615;-0.0038347591258776036;0.0014389806096627065;-0.001330063790426893;0.01081390618320271;-0.0017668256818516965;0.00011226879148565214;0.0029784827114186785;-0.022982173125345458
-8.35760120777005e-05;-0.006043839729380226;0.0051783075586149625;-0.004538054417213989;-0.004469229132287302;0.0011087121847045795;0.00019920278980017868;0.019734606407771058;-0.004774322411182205;-0.005656640043921442;-0.0019018015325287033;-0.014133807361691226
0.0005209121591535026;-0.006842960907221431;0.005837829268797805;-0.004972279937502604;-0.004746950352341948;8.007807211100823e-05;0.0012833669669508184;0.02516774420216722;-0.007350362396640419;-0.010106468150651146;-0.005650686819785788;-0.0062571269062232345
0.0012126029164839039;-0.00777473079953702;0.005707422444552969;-0.0051768819419827005;-0.004505537914894874;-0.001040638298121504;0.0018024006291106412;0.024063131570351767;-0.010491632251549015;-0.011688086812020772;-0.0062924511197745255;-0.0012794397255236763
0.0019623220443332583;-0.00883921059346644;0.0046914122274927935;-0.005086077681108033;-0.003963103263937658;-0.0013404715844180825;0.0022208916590354664;0.016051676480604;-0.014444609127694649;-0.009533499724457571;-0.002927399087354121;0.000728315921931628
0.002737785067819029;-0.00996797586341452;0.002992490912217152;-0.004926522704982764;-0.0036289139330269123;-0.00026043660721323993;0.0031682652872018;0.004105433768923212;-0.01772978168808248;-0.003957391219202789;0.0035943061815218377;0.0009175173417568899
0.0034941041093914478;-0.011092465838758704;0.001050800325517804;-0.005113020676952777;-0.00399347675089044;0.0019483923096499964;0.004978798384143369;-0.006764972514381052;-0.017802080300542714;0.0034320661602099917;0.010909149658608579;0.000414124403436832
0.004169871115394169;-0.012225582762621322;-0.0006022023928946644;-0.005997703541416384;-0.005189088476966102;0.004272946485587077;0.007480193306049769;-0.012044027498701454;-0.012904021888245716;0.010108611488079308;0.016268408543885695;-0.0004482955528607519
0.004701450531086733;-0.013468640412393429;-0.0015253052382580142;-0.007652662969778502;-0.006855584944818724;0.005442929756267966;0.010054372703202733;-0.009923856485862158;-0.0036195826777710273;0.013325077852658258;0.017853540056121477;-0.0018645210495851741
0.005047225216906967;-0.014901332429882957;-0.0015259452580537857;-0.009838096086721067;-0.008325434661333498;0.004564084996402564;0.01185888705618766;-0.0019488588956515954;0.0071189993058453785;0.011062802122923605;0.015463209913719234;-0.003779734284648094
0.0052019086960345086;-0.016416425023846423;-0.0007339594656672775;-0.012159340923902869;-0.009015155391869239;0.0015132281863203926;0.01215172605063715;0.008070801294074777;0.015566082589166984;0.0030908069456966327;0.01027701557008933;-0.005543013196747851
0.005195857686002679;-0.017632725011916442;0.00045948224214595085;-0.014275230943373669;-0.008748779363441685;-0.0030776920346192883;0.010689198157658817;0.01603985073225583;0.01908266060918283;-0.008440002347473516;0.004057054260478819;-0.006322834291648637
0.005092309824501176;-0.01798706815600592;0.0015934800294660591;-0.016002664995381784;-0.007787770048008099;-0.008165845245523494;0.008022870782342057;0.019304117291004688;0.017172742867621552;-0.0195292824465753;-0.0016028858539070905;-0.005782217634027089
0.0049883535130947915;-0.016985396559145268;0.002367903650344241;-0.01726720930215341;-0.0065682913036451815;-0.012729916586271378;0.0053689728035523025;0.01737144666776385;0.01125796942836585;-0.025961254348308312;-0.005638202012450101;-0.004356150004688236
0.0050052978472943654;-0.014477028348599;0.0027766860507457765;-0.01797510996018599;-0.005362702296860392;-0.016048997031071432;0.003926398222651491;0.011573932052835098;0.003758849375821475;-0.025192812837999224;-0.007555469355351602;-0.002942685288947204
0.005256161496134088;-0.01079117067943454;0.0030599303998939753;-0.01793217288820181;-0.004120307798563941;-0.017731544148431446;0.004059931814659423;0.004130753206549156;-0.002818290710307096;-0.01747854776890593;-0.00736617064085344;-0.002295317264037376
0.005804750424939393;-0.0066500673577083195;0.0034983119120073243;-0.016888360468676648;-0.0025963498940342025;-0.017594093568306914;0.00502499141300267;-0.002823275143328323;-0.0065834273625043575;-0.005691903126211103;-0.005473661383462186;-0.0025564953408680805
0.006644990136335235;-0.0028901354968258438;0.004163905726295789;-0.014684515053359385;-0.0006665054867480067;-0.015582497003755687;0.005499726756039894;-0.007868778610863837;-0.006808842093778243;0.0060375796482564645;-0.0024542854995746664;-0.0032581473310382553
