1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
12741.0;6211.0;6282.0;6046.0;6481.0;5702.0;7662.0;6702.0;5696.0;5615.0;5715.0;6055.0;5816.0;5573.0;6630.0;5687.0;6589.0;6223.0;5698.0
12867.0;6246.0;6329.0;6106.0;6548.0;5745.0;7765.0;6723.0;5721.0;5707.0;5776.0;6090.0;5885.0;5654.0;6721.0;5738.0;6612.0;6262.0;5733.0
13093.0;6305.0;6370.0;6201.0;6603.0;5804.0;7790.0;6760.0;5783.0;5762.0;5817.0;6198.0;5946.0;5685.0;6752.0;5781.0;6684.0;6293.0;5760.0
13211.0;6345.0;6437.0;6264.0;6626.0;5857.0;7838.0;6809.0;5852.0;5867.0;5911.0;6237.0;6012.0;5918.0;6848.0;5855.0;6724.0;6314.0;5785.0
13241.0;6531.0;6678.0;6417.0;6720.0;5881.0;8048.0;6881.0;5926.0;5916.0;5962.0;6321.0;6068.0;6018.0;6909.0;5919.0;6950.0;6356.0;5881.0
13334.0;6582.0;6715.0;6514.0;6746.0;5915.0;8102.0;6912.0;6017.0;5941.0;5994.0;6451.0;6142.0;6047.0;7014.0;5974.0;7043.0;6429.0;5917.0
13474.0;6647.0;6787.0;6541.0;6826.0;5972.0;8171.0;6944.0;6111.0;6039.0;6144.0;6474.0;6178.0;6159.0;7348.0;6050.0;7160.0;6458.0;5944.0
13682.0;6719.0;6979.0;6718.0;6980.0;6005.0;8266.0;7044.0;6166.0;6076.0;6221.0;6534.0;6204.0;6260.0;7425.0;6104.0;7348.0;6505.0;5989.0
13771.0;6889.0;7105.0;6878.0;7012.0;6045.0;8322.0;7153.0;6190.0;6176.0;6468.0;6608.0;6249.0;6280.0;7551.0;6128.0;7384.0;6719.0;6118.0
13880.0;7034.0;7190.0;6947.0;7211.0;6071.0;8368.0;7213.0;6249.0;6229.0;6491.0;6630.0;6433.0;6320.0;7580.0;6179.0;7549.0;6748.0;6152.0
13916.0;7114.0;7218.0;6984.0;7296.0;6113.0;8500.0;7254.0;6283.0;6273.0;6514.0;6721.0;6494.0;6384.0;7711.0;6203.0;7582.0;6789.0;6252.0
13966.0;7263.0;7268.0;7010.0;7366.0;6249.0;8560.0;7390.0;6345.0;6303.0;6716.0;6742.0;6641.0;6445.0;7768.0;6377.0;7751.0;6886.0;6330.0
14035.0;7289.0;7402.0;7074.0;7475.0;6327.0;8589.0;7633.0;6404.0;6324.0;6844.0;6774.0;6661.0;6505.0;7864.0;6489.0;7821.0;6927.0;6364.0
14124.0;7520.0;7447.0;7111.0;7590.0;6387.0;8647.0;7654.0;6456.0;6378.0;6874.0;6828.0;6690.0;6587.0;7885.0;6598.0;7889.0;6963.0;6474.0
14152.0;7543.0;7485.0;7142.0;7687.0;6509.0;8783.0;7682.0;6509.0;6425.0;6930.0;6852.0;6821.0;6642.0;7919.0;6630.0;7919.0;7062.0;6525.0
14224.0;7580.0;7510.0;7355.0;7732.0;6561.0;8805.0;7759.0;6555.0;6544.0;6970.0;6969.0;6891.0;6747.0;8029.0;6769.0;7942.0;7158.0;6593.0
14442.0;7659.0;7544.0;7387.0;7792.0;6581.0;8864.0;7909.0;6583.0;6581.0;7030.0;7160.0;7093.0;6792.0;8087.0;6982.0;8089.0;7195.0;6623.0
14546.0;7881.0;7664.0;7417.0;7849.0;6669.0;8886.0;7967.0;6726.0;6605.0;7057.0;7254.0;7125.0;6843.0;8117.0;7014.0;8116.0;7404.0;6676.0
14664.0;7939.0;7930.0;7444.0;7881.0;6691.0;8943.0;8334.0;6811.0;6688.0;7189.0;7334.0;7255.0;6954.0;8151.0;7077.0;8140.0;7449.0;6773.0
14740.0;8030.0;7968.0;7488.0;7962.0;6722.0;9007.0;8436.0;6858.0;6765.0;7249.0;7357.0;7315.0;6990.0;8229.0;7163.0;8187.0;7497.0;7039.0
